State,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05
Kebbi,925.0,1250.0,1433.33313333333,1400.0,1370.0,1380.0,1253.3333333333333,1340.0,1490.0,1406.25,1363.6363636363637,1368.0,1325.0,1340.0,1296.0,1345.25,1635.958525,1661.516775,1753.9358375,1753.9358375,1686.7315625,1418.302,1234.8869,1308.9432315000001,1308.9432315000001,1301.0956053,1382.3348168,1468.81681640194,1577.1800113375705,2180.2795106089316,3016.1448249285263
Kogi,1073.75,1011.6666666666666,1300.0,1280.55555555556,1234.42307692308,1152.5,1241.8696581196593,1296.4,1186.314163208,1321.2413330078089,1413.9306131998699,1314.9903971354167,1365.5646514892578,1282.5,1200.0,1200.0,1300.0,1300.0,1360.0,1400.0,1500.0,1339.51,1177.5345,1435.22,1435.22,1413.6917,1200.0,1220.0,1383.4,2192.7040682645284,2823.852839379679
Kwara,1167.5,1153.3333333333333,1134.70634920635,1444.0,1307.5,1345.7142857142858,1307.9801587301586,1345.7142857142858,1268.0,1291.1000104631696,1386.5835658482142,1444.1666666666667,1422.3416544596355,1433.3333333333333,1465.084015,1450.0,1350.0,1559.4052509375,1700.7826710125,1733.4526710125,1737.0826710125,1554.70666666667,1175.3381666666667,1396.9044444444444,1400.9027111111109,1396.05888,1397.7621086071438,1310.58252516543,1488.592540934774,2279.6758403417284,3136.144649693465
Lagos,1093.3333333333333,1157.8125,1199.79452054795,1161.66666666667,1231.25,1276.4705882352941,1299.5454545454545,1210.7692307692307,1261.5625,1237.142857142857,1305.5555555555557,1281.8333333333333,1262.375,1215.0,1324.4444444444443,1222.2222222222222,1386.34444444444,1489.6879999999999,1458.25748,1558.25748,1658.2574799999998,1515.6,1168.1100000000001,1435.22,1435.22,1425.17346,1560.82320461578,1625.10983606741,1642.6719833920693,2293.2740841085238,3150.4505949897484
Nasarawa,1100.0,1200.0,1146.0,1275.0,1285.0,1520.0,1453.125,1448.5,1389.5087524414062,1408.0199951171876,1380.625,1425.8,1466.125,1550.0,1735.0683142,1500.0,1781.82432332876,1931.3750269779998,2006.58962812184,2046.5896281218397,1901.057041084,1708.027100271,1519.6776422764233,1321.863875,1325.293875,1313.24733375,1379.349025,1381.2339132284,1852.3587276586413,2818.938152028743,3785.836482582041
Niger,1025.0,1062.5,1217.79333333333,1180.0,1140.0,1023.0,1140.1983333333333,1979.2307692307693,1321.4583333333333,1308.8300048828125,1322.2552083333333,1366.539990234375,1442.8033621651787,1481.25,1475.1637321428573,1515.1172042857143,1742.02220428571,1896.39694089375,1932.79576228375,1931.93826228375,1889.432838765,1512.62476190477,1386.5595238095295,1465.6915238000001,1477.5657638,1432.98793977,1276.0,1385.6,1548.0490611903297,2430.421780176143,3167.461622811281
Ogun,1107.14285714286,1118.0,1182.30593607306,1157.14285714286,1422.5,1457.0,1264.2857142857142,1239.1666666666667,1251.111111111111,1255.0,1380.0,1200.7142857142858,1258.076923076923,1231.6363636363637,1250.0,1275.0,1350.5275,1463.2175000000002,1504.44156666667,1650.4395666666665,1650.4395666666665,1468.66742857143,1180.7740571428571,1399.6148572000002,1402.3645257120002,1403.9373430834398,1230.5158197305,1183.30739394228,1532.647539183418,2425.9442317860603,3249.557760335826
Ondo,1104.1666666666667,1083.3333333333333,1172.51467710372,1173.07692307692,1271.11111111111,1383.3333333333333,1325.8333333333333,1356.6666666666667,1289.09090909091,1368.1818181818182,1507.0,1400.0,1386.4285714285713,1395.4545454545455,1401.0,1396.2857142999999,1396.2857143,1313.3333333333333,1318.4,1365.70666666667,1465.7066666666667,1282.0,1150.76,1393.2333333333336,1402.944066666667,1404.5620256666668,1382.3071723432276,1496.97338028895,1660.4431997553181,2317.210009487878,3028.601234855
Osun,1132.5,1136.3636363636363,1174.93911719939,1164.28571428571,1291.66666666667,1375.0,1395.0,1290.0,1246.8181818181818,1268.1818181818182,1287.857142857143,1425.0,1379.1666666666667,1363.6363636363637,1388.888888888889,1333.3333333333333,1451.83444444444,1759.62795,1843.040572222222,1843.040572222222,1757.1704,1523.84285714286,1245.3007142857143,1419.4742857142858,1436.4396571428572,1427.2569954285714,1427.59337402571,1466.43469556873,1872.1538301490327,2616.9678748388556,3421.3214500429526
Oyo,1046.15384615385,1102.5,1173.6195995785,1153.125,1253.23529411765,1405.0,1236.923076923077,1280.0,1273.3333333333333,1298.75,1276.4705882352941,1372.8125,1250.0,1348.6666666666667,1315.0,1415.0,1497.47816666667,1522.9057500000001,1643.6715433333331,1643.6715433333331,1580.1048766666665,1345.24028571429,1202.0497,1393.7257,1403.3043400000001,1389.6622212999998,1459.780045664,1470.60486695411,1621.9478959388111,2507.7830794434594,3307.1551911729694
Plateau,1120.0,1068.5714285714287,1226.69,1162.0,1067.25,1293.0,1287.235,1450.0,1510.7777777777778,1489.258327907986,1526.388888888889,1743.5714285714287,1704.45,1650.0,2002.441007,2000.0,2042.441007,2205.12728399167,2201.51685115833,2236.41778517667,2029.7103312850002,1831.83,1312.5525,1422.72,1443.7861,1428.3494680000001,1449.77882725,1563.54105807585,1654.0582224212244,2655.2982550844617,3576.4010805755147
Rivers,875.0,897.8571428571429,1008.88888888889,1250.0,1221.85714285714,1344.4444444444443,1375.0,1433.3333333333333,1350.0,1385.0,1533.3333333333333,1335.0,1477.5,1471.4285714285713,1406.25,1318.75,1464.56375,1852.8619555555556,1860.34938477778,2000.34938477778,1983.92666666667,1721.375,1220.44375,1371.52125,1388.13575,1383.15328125,1439.610234635011,1478.27227085409,1572.9440816567187,2462.501754733621,3428.7155245138492
Sokoto,1183.3333333333333,1300.0,1125.0,1383.33333333333,1200.0,1400.0,1675.0,1487.5,1457.142857142857,1575.0,1433.3333333333333,1500.0,1537.5,1575.0,1600.0,1600.0,1600.0,1593.75,1500.0,1607.195,1600.0,1443.5,1266.325,1428.810125,1428.810125,1434.204175625,1470.45542508762,1554.63539830301,1759.0478983030098,2570.562521626698,3514.1643949935233
Taraba,940.0,1050.0,988.333333333333,1133.33333333333,1325.83333333333,1742.4583333333333,1636.2237548828125,1742.4583333333333,1721.789501953125,1638.1423095703126,1369.1666666666667,1438.8349975585938,1481.3766682942708,1537.7836100260417,1700.0,1600.0,1645.76,1899.9974000000002,1940.0674000000001,1928.0,1807.195,1606.4,1348.1979999999999,1368.1760000000002,1389.448,1396.7567600000002,1453.5,1525.5,1757.8349999999998,2704.7590920125317,3489.197843160826
Yobe,1100.0,1250.0,1178.57142857143,1255.0,1510.0,1637.25,1596.8964320591517,1637.25,1610.8212585449219,1504.6332763671876,1470.0,1571.8333604600693,1522.560546875,1467.5212925502233,1600.0,1650.0,1600.0,1600.0,1628.0,1638.0,1728.0,1510.68235294118,1365.6482352941177,1425.22,1425.22,1429.6146800000001,1376.41756,1335.85189531262,1755.127407950348,2693.165195986742,3394.995885535807
Zamfara,1100.0,1225.0,1182.595,1225.0,1362.114,1315.7142857142858,1333.3333333333333,1250.0,1284.0,1295.7142857142858,1312.5,1460.0,1376.25,1314.2857142857142,1280.0,1300.0,1300.0,1503.2857142857142,1564.80285714286,1560.17085714286,1470.34864571429,1250.34714285714,1342.6657142857143,1403.66,1422.77228571429,1434.0524414285715,1242.8235629449737,1322.61972383832,1502.4969159424986,2337.36348853602,3251.4268160438282
